"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector","current_address_line_1","current_postcode"
"9485","Classic Vintage Motors Ltd","2017-18","10,500","10,500",0,"Northern Ireland","Fermanagh and Omagh",45110,"Wholesale & Retail Trade & Repair of Vehicles","22 Old Rossorry Road","BT74 7LE"
"9486","Holiday Inn Express Derry / Londonderry","2017-18","9,293","18,586",0,"Northern Ireland","Derry City and Strabane",55100,"Accommodation & Food Service Activities","75 Glen Road","BT48 0BZ"
"9487","Asbestos Control Services","2017-18","22,000","22,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities","10 Tandragee Road","BT62 3BQ"
"9488","Rikki Jordan Guitar Tuition","2017-18","5,000","5,000",0,"Northern Ireland","Ards and North Down",85590,"Education","10 Onslow Gardens","BT19 7HH"
"9489","DR Gates & Railings","2017-18","35,000","83,000",0,"Northern Ireland","Causeway Coast and Glens",25990,"Manufacturing","81A Frosses Road","BT53 7EJ"
"9490","DR Joinery & Carpentry","2017-18","20,000","20,000",0,"Northern Ireland","Lisburn and Castlereagh",43320,"Construction","Unit 25 Dunmurray Industrial Estate","BT17 9HU"
"9491","Balfour Windows (NI) Ltd","2017-18","50,000","50,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",46730,"Wholesale & Retail Trade & Repair of Vehicles","126 Old Kilmore Road","BT67 9JZ"
"9492","Irish Stone","2017-18","30,000","30,000",0,"Northern Ireland","Lisburn and Castlereagh",23700,"Manufacturing","26 Harry's Rd","BT26 6HJ"
"9493","Farrell Brothers Specialist Joinery","2017-18","40,000","40,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",16230,"Manufacturing","100 Mowhan Road","BT60 1RQ"
"9494","Onefit Ltd","2017-18","15,000","15,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",47990,"Wholesale & Retail Trade & Repair of Vehicles","86 Rose Cottages","BT62 1RY"
"9495","The Old Tea House","2017-18","12,000","12,000",0,"Northern Ireland","Mid and East Antrim",56102,"Accommodation & Food Service Activities","1A Kings Road","BT38 9PU"
"9496","Stephen Martin Male Grooming","2017-18","6,250","6,250",0,"Northern Ireland","Belfast",96020,"Other Service Activities","2A Rosetta Road","BT6 0LT"
"9497","Holiday Inn Express Derry / Londonderry","2017-18","9,310","18,620",0,"Northern Ireland","Derry City and Strabane",55100,"Accommodation & Food Service Activities","75 Glen Road","BT48 0BZ"
"9498","Artisan Web Solutions","2017-18","6,000","6,000",0,"Northern Ireland","Belfast",62090,"Information & Communication","Suites 3-5 20 Stranmillis Road","BT9 5AA"
"9499","New Gen Agri","2017-18","27,000","27,000",0,"Northern Ireland","Fermanagh and Omagh",8910,"Mining & Quarrying","30B Gortin Road","BT79 7HX"
"9500","ARC Auto Electrics Omagh Ltd","2017-18","20,000","20,000",0,"Northern Ireland","Fermanagh and Omagh",33130,"Manufacturing","1 Omagh Road","BT78 4QY"
"9501","St Patrick's Way Stables","2017-18","3,000","3,000",0,"Northern Ireland","Newry, Mourne and Down",93290,"Arts, Entertainment & Recreation","62A Mearne Road","BT30 7HE"
"9502","Scott Bros PVC Covers","2017-18","3,167","3,167",0,"Northern Ireland","Mid Ulster",13990,"Manufacturing","Tobermore Business Centre","BT45 5SG"
"9503","Natural Ingredients (NI) Limited","2017-18","20,000","20,000",0,"Northern Ireland","Belfast",74909,"Professional, Scientific & Technical Activities","85 University Street","BT7 1HP"
"9504","Bradys Bike Spares","2017-18","15,000","15,000",0,"Northern Ireland","Fermanagh and Omagh",45400,"Wholesale & Retail Trade & Repair of Vehicles","10 Eshnadarragh Road","BT92 7JS"
"9505","The Beauty Bar","2017-18","8,000","8,000",0,"Northern Ireland","Mid Ulster",96020,"Other Service Activities","3 Orritor Road","BT80 8BN"
"9506","Protx (NI) Ltd ","2017-18","20,000","45,000",0,"Northern Ireland","Mid Ulster",25990,"Manufacturing","81 Bells Hill Road","BT45 8HG"
"9507","XSRE.ME Ltd ","2017-18","25,000","25,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",47990,"Wholesale & Retail Trade & Repair of Vehicles","9a High Street","BT66 8AA"
"9508","Holiday Inn Express Derry / Londonderry","2017-18","43,994","87,987",0,"Northern Ireland","Derry City and Strabane",55100,"Accommodation & Food Service Activities","75 Glen Road","BT48 0BZ"
"9509","Belfast Coffee Roasters Ltd ","2017-18","15,000","15,000",0,"Northern Ireland","Mid and East Antrim",10832,"Manufacturing","2 Market Place","BT38 7AW"
"9510","Oxford Barber Shop","2017-18","15,000","15,000",0,"Northern Ireland","Lisburn and Castlereagh",96020,"Other Service Activities","Ballantine Gardens","BT27 5FB"
"9511","Fabritec Steel","2017-18","25,000","25,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",25990,"Manufacturing","12 Drumnevan Road","BT62 1RS"
"9512","TPS","2017-18","10,000","10,000",0,"Northern Ireland","Belfast",33130,"Manufacturing","3 Wellington Park","BT9 6DJ"
"9513","Displaynote Technologies Limited","2017-18","248,750","500,000",0,"Northern Ireland","Belfast",62020,"Information & Communication","Ground Floor","BT3 9DT"
"9514","Waste Systems Ltd","2017-18","7,463","15,000",0,"Northern Ireland","Derry City and Strabane",28920,"Manufacturing","Ceased Trading",NA
"9515","Continually","2017-18","149,985","149,985",0,"Northern Ireland","Belfast",62012,"Information & Communication","152 Malone Road","BT9 5LJ"
"9516","Trident Tags","2017-18","10,000","7,971",0,"Northern Ireland","Mid Ulster",75000,"Professional, Scientific & Technical Activities","9 Brackagh Lane","BT45 7RT"
"9517","TeamFeePay","2017-18","19,500","2,800",0,"Northern Ireland","Antrim and Newtownabbey",62011,"Information & Communication","Office 0-22","BT12 7DG"
"9518","Braker Limited Partnership","2017-18","10,000","0",0,"Northern Ireland","Belfast",13922,"Manufacturing","24 Ranelagh Street","BT6 8NP"
"9519","Brainwavebank Ltd.","2017-18","250,000","450,000",0,"Northern Ireland","Belfast",72200,"Professional, Scientific & Technical Activities","32-36 Dublin Road","BT2 7HN"
"9520","NTB Eco Oil Limited","2017-18","12,500","12,500",0,"Northern Ireland","Fermanagh and Omagh",20590,"Manufacturing","Killaspeenan","BT92 8DL"
"9521","TCTS Group Limited","2017-18","16,000","16,000",0,"Northern Ireland","Fermanagh and Omagh",71122,"Professional, Scientific & Technical Activities","150 Lisnagole Road","BT92 0QU"
"9522","Button Farm Mushrooms Limited","2017-18","17,500","135,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10390,"Manufacturing","Ceased Trading",NA
"9523","Button Farm Mushrooms Limited","2017-18","7,500","15,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10390,"Manufacturing","Ceased Trading",NA
"9524","Seven Technologies Holdings Limited","2017-18","250,000","500,000",0,"Northern Ireland","Lisburn and Castlereagh",62012,"Information & Communication","23  Crescent Business Park","BT28 2GN"
"9525","Toye Doors","2017-18","40,000","40,000",0,"Northern Ireland","Lisburn and Castlereagh",32990,"Manufacturing","Unit 5 149 La Mon Estates","BT23 5QU"
"9526","Lodge Equine Stables","2017-18","12,000","12,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",1621,"Agriculture, Forestry & Fishing","10 Ballyloughan Road","BT61 9ND"
"9527","Auris Car Body Repairs","2017-18","8,000","8,000",0,"Northern Ireland","Fermanagh and Omagh",45200,"Wholesale & Retail Trade & Repair of Vehicles","59 Gortin Road","BT79 7HT"
"9528","The Boatyard Distillery Ltd","2017-18","50,000","335,000",0,"Northern Ireland","Fermanagh and Omagh",11010,"Manufacturing","2 Tully Bay Marina","BT93 7DX"
"9529","Ardboe Coldstore Limited","2017-18","150,000","680,000",0,"Northern Ireland","Mid Ulster",10390,"Manufacturing","Ardboe Business Park","BT71 5BJ"
"9530","SureCert","2017-18","149,998","300,019",0,"Northern Ireland","Belfast",62012,"Information & Communication","The Innovation Centre","BT3 9DT"
"9531","SureCert","2017-18","100,008","180,008",0,"Northern Ireland","Belfast",62012,"Information & Communication","The Innovation Centre","BT3 9DT"
"9532","Protech Design Consultancy","2017-18","24,000","14,405",0,"Northern Ireland","Lisburn and Castlereagh",74100,"Professional, Scientific & Technical Activities","8 Dublinhill Lane","BT25 1TQ"
"9533","Re-Vana Ltd","2017-18","174,983","399,882",0,"Northern Ireland","Belfast",21100,"Manufacturing","97 Lisburn Road","BT9 7BL"
"9534","Re-Vana Ltd","2017-18","50,000","60,000",0,"Northern Ireland","Belfast",21100,"Manufacturing","97 Lisburn Road","BT9 7BL"
"9535","Vita Liberata Limited","2017-18","250,000","500,000",0,"Northern Ireland","Antrim and Newtownabbey",46450,"Wholesale & Retail Trade & Repair of Vehicles","181a Templepatrick Road","BT39 0RA"
"9536","Re-Vana Ltd","2017-18","200,000","424,899",0,"Northern Ireland","Belfast",21100,"Manufacturing","97 Lisburn Road","BT9 7BL"
"9537","The Rhone Group Inc Ltd.","2017-18","8,850","0",0,"Northern Ireland","Mid Ulster",47749,"Wholesale & Retail Trade & Repair of Vehicles","44 Prince Andrew Crescent","BT71 7RP"
"9538","Gig Grafter Limited","2017-18","250,000","250,000",0,"Northern Ireland","Newry, Mourne and Down",62012,"Information & Communication","Unit G20","BT12 7DG"
"9539","Pitchpress Limited","2017-18","10,000","10,000",0,"Northern Ireland","Belfast",73110,"Professional, Scientific & Technical Activities","45 Marlborough Park North","BT9 6HL"
"9540","Pitchpress Limited","2017-18","25,000","0",0,"Northern Ireland","Belfast",73110,"Professional, Scientific & Technical Activities","45 Marlborough Park North","BT9 6HL"
"9541","Kraydel Limited","2017-18","200,152","609,235",0,"Northern Ireland","Belfast",62020,"Information & Communication","Unit C","BT1 6EF"
"9542","Name cannot be released","2017-18","9,500","0",0,"Northern Ireland","Lisburn and Castlereagh",0,"X Unknown",NA,NA
"9543","Humain Limited","2017-18","361,060","767,680",0,"Northern Ireland","Belfast",62012,"Information & Communication","The Potthouse","BT1 2LA"
"9544","Slever Solutions Limited","2017-18","10,000","4,132",0,"Northern Ireland","Ards and North Down",63990,"Information & Communication","103 Whiterock Road","BT23 6PU"
"9545","Jag'l Consulting Ltd","2017-18","24,285","0",0,"Northern Ireland","Belfast",62020,"Information & Communication","37A Upper Dunmurry Lane","BT17 0AA"
"9546","Moment Health App","2017-18","200,000","200,000",0,"Northern Ireland","Belfast",62012,"Information & Communication","41 Malone Hill Park","BT9 6RE"
"9547","Atlas Elite Fitness Limited","2017-18","10,000","10,000",0,"Northern Ireland","Newry, Mourne and Down",93110,"Arts, Entertainment & Recreation","40 Bettys Hill Road","BT34 2NB"
"9548","Children's Music Academy","2017-18","11,467","11,467",0,"Northern Ireland","Lisburn and Castlereagh",85600,"Education","174C Saintfield Road","BT27 6UG"
"9549","Uberfone","2017-18","25,000","25,000",0,"Northern Ireland","Lisburn and Castlereagh",96090,"Other Service Activities","206 City Business Park","BT17 9HY"
"9550","Syndeo Limited","2017-18","10,000","10,000",0,"Northern Ireland","Belfast",62012,"Information & Communication","299 Ormeau Road","BT7 3GG"
"9551","Syndeo Limited","2017-18","150,000","150,000",0,"Northern Ireland","Belfast",62012,"Information & Communication","299 Ormeau Road","BT7 3GG"
"9552","Seat View Ltd","2017-18","25,000","10,523",0,"Northern Ireland","Ards and North Down",63110,"Information & Communication","Eve's Farm","BT22 2LJ"
"9553","Name cannot be released","2017-18","2,600","0",0,"Northern Ireland","Newry, Mourne and Down",0,"X Unknown",NA,NA
"9554","Paradoxx Ltd","2017-18","8,350","3,900",0,"Northern Ireland","Antrim and Newtownabbey",46450,"Wholesale & Retail Trade & Repair of Vehicles","3rd Floor","BT1 2LR"
"9555","Eyesparks","2017-18","10,000","0",0,"Northern Ireland","Belfast",62020,"Information & Communication","Eyesparks","BT9 6DJ"
"9556","Paradoxx Ltd","2017-18","249,772","249,772",0,"Northern Ireland","Antrim and Newtownabbey",46450,"Wholesale & Retail Trade & Repair of Vehicles","3rd Floor","BT1 2LR"
"9557","Automated Metrics","2017-18","25,000","0",0,"Northern Ireland","Belfast",58290,"Information & Communication","1-3 Arthur Street","BT1 4GA"
"9558","Name cannot be released","2017-18","10,000","0",0,"Northern Ireland","Antrim and Newtownabbey",0,"X Unknown",NA,NA
"9559","Harris Stocktaking Systems Ltd","2017-18","15,000","15,000",0,"Northern Ireland","Lisburn and Castlereagh",82990,"Admin & Support Service Activities","Unit 104-105","BT28 2BP"
"9560","Q Review Limited","2017-18","10,000","0",0,"Northern Ireland","Causeway Coast and Glens",73200,"Professional, Scientific & Technical Activities","1 Carrig Na Cule","BT55 7TD"
"9561","Rotapal.com","2017-18","25,000","0",0,"Northern Ireland","Belfast",86220,"Human & Social Work Activities","11-16 Donegall Square East","BT1 5UB"
"9562","MedicinALL Ltd","2017-18","10,000","0",0,"Northern Ireland","Causeway Coast and Glens",86220,"Human & Social Work Activities","99 Ballyclogh Road","BT57 8XA"
"9563","Athena Windows Ltd","2017-18","15,000","15,000",0,"Northern Ireland","Fermanagh and Omagh",47789,"Wholesale & Retail Trade & Repair of Vehicles","Unit E1, Omagh Business Complex","BT78 5LU"
"9564","Ciga Healthcare Limited","2017-18","50,000","100,000",0,"Northern Ireland","Mid and East Antrim",21100,"Manufacturing","Kildowney House","BT42 3HB"
"9565","Ardboe Coldstore Limited","2017-18","40,000","630,000",0,"Northern Ireland","Mid Ulster",10390,"Manufacturing","Ardboe Business Park","BT71 5BJ"
"9566","Belfast Coffee Roasters Ltd","2018-19","15,000","15,000",0,"Northern Ireland","Mid and East Antrim",10832,"Manufacturing","2 Market Place","BT38 7AW"
"9567","The Bizzi Stationery Company ","2018-19","12,000","12,000",0,"Northern Ireland","Fermanagh and Omagh",17219,"Manufacturing","11 Tudor Grove","BT78 1HJ"
"9568","The Design Yard Limited","2018-19","25,000","25,000",0,"Northern Ireland","Mid Ulster",31020,"Manufacturing","Unit 1 The Dyehouse","BT71 7HB"
"9569","The Desk Warehouse","2018-19","30,000","30,000",0,"Northern Ireland","Belfast",46150,"Wholesale & Retail Trade & Repair of Vehicles","Owen O Cork Mill","BT5 5DX"
"9570","Uberfone","2018-19","40,000","40,000",0,"Northern Ireland","Lisburn and Castlereagh",96090,"Other Service Activities","206 City Business Park","BT17 9HY"
"9571","Aces Jewellers Limited","2018-19","25,000","25,000",0,"Northern Ireland","Lisburn and Castlereagh",96090,"Other Service Activities","Aces","BT28 1AW"
"9572","Air-Tastic Ltd","2018-19","225,000","450,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",93290,"Arts, Entertainment & Recreation","Unit 4","BT34 5QH"
"9573","BHI Stores Ltd","2018-19","15,000","15,000",0,"Northern Ireland","Mid Ulster",47300,"Wholesale & Retail Trade & Repair of Vehicles","B H I Stores Ltd","BT80 8TL"
"9574","Air-Tastic Ltd","2018-19","200,000","400,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",93290,"Arts, Entertainment & Recreation","Unit 4","BT34 5QH"
"9575","BAHS Ltd","2018-19","15,000","15,000",0,"Northern Ireland","Causeway Coast and Glens",46740,"Wholesale & Retail Trade & Repair of Vehicles","105 Boleran Road","BT51 5EH"
"9576","Gormley Car Sales Limited","2018-19","30,000","30,000",0,"Northern Ireland","Mid Ulster",45112,"Wholesale & Retail Trade & Repair of Vehicles","34 Station Road","BT46 5BS"
"9577","Ginger Rosie Crafts","2018-19","4,500","4,500",0,"Northern Ireland","Ards and North Down",90030,"Arts, Entertainment & Recreation","Watermeade Crescent","BT22 2XB"
"9578","Beauty Loft Salon and School of Excellence","2018-19","15,000","15,000",0,"Northern Ireland","Newry, Mourne and Down",96020,"Other Service Activities","Burren Meadow","BT33 0UW"
"9579","Name cannot be released","2018-19","10,000","10,000",0,"Northern Ireland","Newry, Mourne and Down",0,"X Unknown",NA,NA
"9580","Name cannot be released","2018-19","25,000","25,000",0,"Northern Ireland","Ards and North Down",0,"X Unknown",NA,NA
"9581","Name cannot be released","2018-19","10,000","10,000",0,"Northern Ireland","Newry, Mourne and Down",0,"X Unknown",NA,NA
"9582","Name cannot be released","2018-19","10,000","10,000",0,"Northern Ireland","Newry, Mourne and Down",16290,"Manufacturing",NA,NA
"9583","Boundary Brewing","2018-19","20,000","20,000",0,"Northern Ireland","Belfast",11050,"Manufacturing","Unit A5","BT4 1HE"
"9584","Name cannot be released","2018-19","9,500","9,500",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",0,"X Unknown",NA,NA
"9585","Brilliant Buttons (N.I.) Ltd","2018-19","10,000","10,000",0,"Northern Ireland","Belfast",62012,"Information & Communication","89 Royal Avenue","BT1 1FE"
"9586","Brio Training","2018-19","12,000","12,000",0,"Northern Ireland","Mid Ulster",85590,"Education","66 Mullaghboy Glen","BT45 5GX"
"9587","Budget Energy Limited","2018-19","500,000","1,000,000",0,"Northern Ireland","Derry City and Strabane",35120,"Electricity, Gas, Steam & Air Conditioning Supply","30-32  Ballinska Road","BT48 0LY"
"9588","Cadshare Technology Limited","2018-19","150,016","150,016",0,"Northern Ireland","Belfast",58290,"Information & Communication","Unit 16","BT7 2JA"
"9589","Allison Electrical Contracts Ltd","2018-19","40,000","40,000",0,"Northern Ireland","Fermanagh and Omagh",43210,"Construction","10B Main Street","BT79 9AY"
"9590","Carbon Catch","2018-19","15,000","15,000",0,"Northern Ireland","Ards and North Down",74901,"Professional, Scientific & Technical Activities","25 Prospect Road","BT23 6LS"
