"","business_name","financial_year_of_offer","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","SIC_sector"
"282","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"283","Metberg Ltd","2014-15","66,560",3,"Northern Ireland","MANUFAC"
"284","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"285","Hyde Park Homes","2014-15","41,500",1,"Northern Ireland","MANUFAC"
"286","The Yellow Door","2014-15","128,260",3,"Northern Ireland","MANUFAC"
"287","Portadown Fireplaces","2014-15","7,181",1,"Northern Ireland","MANUFAC"
"288","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"289","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"290","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"291","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"292","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"293","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"294","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"295","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"296","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"297","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"298","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"299","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"300","MetaCompliance Limited","2014-15","123,400",1,"Northern Ireland","INFO&COMMU"
"301","Islander Kelp Ltd","2014-15","62,705",1,"Northern Ireland","MANUFAC"
"302","Mammoth Design Consultants Ltd","2014-15","205,700",7,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"303","Coates Engineering","2014-15","6,945",1,"Northern Ireland","MANUFAC"
"304","Mash Direct Limited","2014-15","124,039",2,"Northern Ireland","MANUFAC"
"305","RedRubyRouge Ltd","2014-15","3,760",1,"Northern Ireland","WHOLESALE&RETAIL"
"306","MacNeice Fruit Limited","2014-15","63,600",2,"Northern Ireland","MANUFAC"
"307","Enviro Group","2014-15","252,000",8,"Northern Ireland","INFO&COMMU"
"308","Westville Hotel","2014-15","20,625",1,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"309","Clinty Chemicals Limited","2014-15","32,575",1,"Northern Ireland","MANUFAC"
"310","Clinty Re-Gen Limited","2014-15","5,250",1,"Northern Ireland","MANUFAC"
"311","Galgorm Manor Hotel Limited","2015-16","139,045",2,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"312","Westville Hotel","2014-15","62,060",2,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"313","Best Western White Horse Hotel","2015-16","14,800",1,"Northern Ireland","ACCOMODATION&FOODSERVICE"
