"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector"
"8024","B.L. Refrigeration & Air Conditioning Limited","2018-19","22,638","61,910",0,"Northern Ireland","Belfast",28250,"Manufacturing"
"8025","K & G McAtamney","2018-19","49,000","690,616",10,"Northern Ireland","Mid and East Antrim",10130,"Manufacturing"
"8026","C H P Mechanical Services Ltd","2018-19","1,300","2,600",0,"Northern Ireland","Newry, Mourne and Down",43220,"Construction"
"8027","Exact CNC (NI) Ltd","2018-19","9,150","18,300",0,"Northern Ireland","Newry, Mourne and Down",25620,"Manufacturing"
"8028","Big Pot Company Limited","2018-19","1,775","3,550",0,"Northern Ireland","Mid Ulster",10850,"Manufacturing"
"8029","IPS","2018-19","2,390","4,780",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",43340,"Construction"
"8030","20/20 Architects","2018-19","3,666","7,332",0,"Northern Ireland","Causeway Coast and Glens",71111,"Professional, Scientific & Technical Activities"
"8031","Almac Group Limited","2018-19","885,943","2,588,312",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",72190,"Professional, Scientific & Technical Activities"
"8032","Calnex Solutions Ltd","2018-19","49,931","308,421",0,"Great Britain","Belfast",61900,"Information & Communication"
"8033","Concept Services (NI) Ltd","2018-19","45,000","360,000",10,"Northern Ireland","Lisburn and Castlereagh",81222,"Admin & Support Service Activities"
"8034","McAuley Fabrication Limited","2018-19","30,000","170,000",5,"Northern Ireland","Causeway Coast and Glens",25110,"Manufacturing"
"8035","Liopa Ltd","2018-19","5,000","10,000",0,"Northern Ireland","Belfast",62090,"Information & Communication"
"8036","CEON Machinery Control Ltd","2018-19","136,000","471,104",17,"Northern Ireland","Mid Ulster",27900,"Manufacturing"
"8037","Kraydel Limited","2018-19","5,000","10,000",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"8038","Trading","2018-19","76,700","881,000",11,"Northern Ireland","Fermanagh and Omagh",62012,"Information & Communication"
"8039","Continually","2018-19","4,900","10,000",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"8040","Locate a Locum","2018-19","4,900","10,000",0,"Northern Ireland","Belfast",63120,"Information & Communication"
"8041","Frenstar Limited","2018-19","14,830","135,500",2,"Northern Ireland","Belfast",32990,"Manufacturing"
"8042","Vaughan Engineering Group Ltd","2018-19","11,025","79,533",0,"Northern Ireland","Antrim and Newtownabbey",25990,"Manufacturing"
"8043","Davison Canners Limited","2018-19","99,800","499,000",6,"Northern Ireland","Armagh City, Banbridge and Craigavon",10390,"Manufacturing"
"8044","Hempful Ltd","2018-19","14,730","77,100",1,"Northern Ireland","Derry City and Strabane",10519,"Manufacturing"
"8045","Bloc Blinds","2018-19","183,803","540,596",0,"Northern Ireland","Mid Ulster",22230,"Manufacturing"
"8046","mybizfx","2018-19","33,000","140,000",4,"Northern Ireland","Derry City and Strabane",64999,"Financial & Insurance Activities"
"8047","JadeBlok Ltd.","2018-19","8,000","20,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"8048","Martin Contracting Services Ltd","2018-19","26,144","85,392",0,"Northern Ireland","Mid and East Antrim",71129,"Professional, Scientific & Technical Activities"
"8049","FinTrU","2018-19","7,538","15,076",0,"Great Britain","Belfast",64999,"Financial & Insurance Activities"
"8050","Stormharvester Limited","2018-19","1,500","3,000",0,"Northern Ireland","Lisburn and Castlereagh",36000,"Water Supply, Sewerage, Waste Management & Remediation Activities"
"8051","Feral Fire & Architectural Glazing Ltd","2018-19","21,024","57,376",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",25110,"Manufacturing"
"8052","Advanced Electronic Solutions Global Ltd","2018-19","24,750","148,500",3,"Northern Ireland","Mid Ulster",26309,"Manufacturing"
"8053","Verona Bridal & Marie Therese Bridal","2018-19","9,998","73,000",1,"Northern Ireland","Causeway Coast and Glens",47190,"Wholesale & Retail Trade & Repair of Vehicles"
"8054","Vivomed Ltd","2018-19","10,000","23,216",0,"Northern Ireland","Newry, Mourne and Down",32500,"Manufacturing"
"8055","Henderson Foodservice Limited","2018-19","120,802","473,814",0,"Northern Ireland","Antrim and Newtownabbey",46390,"Wholesale & Retail Trade & Repair of Vehicles"
"8056","Seagate Technology (Ireland)","2018-19","9,947,056","57,392,016",0,"United States Of America","Derry City and Strabane",26200,"Manufacturing"
"8057","National Building Services","2018-19","48,508","100,973",0,"Northern Ireland","Newry, Mourne and Down",43999,"Construction"
"8058","Fortress Protec Limited","2018-19","1,725","3,450",0,"Northern Ireland","Antrim and Newtownabbey",25610,"Manufacturing"
"8059","Moran's Retail Ltd","2018-19","1,770","3,540",0,"Northern Ireland","Derry City and Strabane",56210,"Accommodation & Food Service Activities"
"8060","North West Of Ireland Printing and Publishing Company Limited","2018-19","7,350","15,000",0,"Northern Ireland","Fermanagh and Omagh",58130,"Information & Communication"
"8061","PTG HK Limited","2018-19","36,492","66,561",0,"Northern Ireland","Fermanagh and Omagh",46190,"Wholesale & Retail Trade & Repair of Vehicles"
"8062","Aerona Software Systems Ltd","2018-19","48,000","472,500",6,"Northern Ireland","Derry City and Strabane",62012,"Information & Communication"
"8063","WE DO ART","2018-19","6,880","22,400",0,"Northern Ireland","Derry City and Strabane",16290,"Manufacturing"
"8064","Struct Steel Engineering","2018-19","2,250","4,500",0,"Northern Ireland","Fermanagh and Omagh",71110,"Professional, Scientific & Technical Activities"
"8065","Deli Lites","2018-19","29,737","59,474",0,"Northern Ireland","Newry, Mourne and Down",10890,"Manufacturing"
"8066","Danske Bank","2018-19","99,453","221,006",0,"Denmark","Belfast",64191,"Financial & Insurance Activities"
"8067","McElmeel Mobility Services Limited","2018-19","3,300","6,600",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",30990,"Manufacturing"
"8068","Connected Care Solutions Ltd","2018-19","30,400","141,500",4,"Northern Ireland","Lisburn and Castlereagh",63990,"Information & Communication"
"8069","Hill Engineering Limited","2018-19","31,738","63,476",0,"Northern Ireland","Newry, Mourne and Down",28220,"Manufacturing"
"8070","Glenavon House Hotel","2018-19","7,712","22,505",0,"Northern Ireland","Mid Ulster",55100,"Accommodation & Food Service Activities"
"8071","Somerville Shopfitting","2018-19","12,390","157,000",2,"Northern Ireland","Lisburn and Castlereagh",31010,"Manufacturing"
"8072","Mash Direct Limited","2018-19","30,478","60,956",0,"Northern Ireland","Ards and North Down",10890,"Manufacturing"
"8073","Vanrath","2018-19","12,082","51,433",0,"Northern Ireland","Belfast",78100,"Admin & Support Service Activities"
"8074","Irish Food & Beverages Ltd","2018-19","19,950","244,500",3,"Northern Ireland","Mid Ulster",11070,"Manufacturing"
"8075","Loyalbe Ltd","2018-19","2,700","5,400",0,"Northern Ireland","Belfast",58290,"Information & Communication"
"8076","Gilfresh Produce","2018-19","8,820","18,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10390,"Manufacturing"
"8077","Ruach Music Ltd","2018-19","44,077","98,544",0,"Northern Ireland","Newry, Mourne and Down",32200,"Manufacturing"
"8078","Ascot Sign Systems","2018-19","4,500","9,000",0,"Northern Ireland","Derry City and Strabane",18130,"Manufacturing"
"8079","Elite Electronic Systems Ltd","2018-19","30,691","61,382",0,"Great Britain","Fermanagh and Omagh",26120,"Manufacturing"
"8080","Axon Power & Control Ltd","2018-19","17,228","49,401",0,"Northern Ireland","Mid Ulster",27120,"Manufacturing"
"8081","Northside Graphics Limited","2018-19","9,998","19,995",0,"Northern Ireland","Belfast",18129,"Manufacturing"
"8082","Making Great Leaders Ltd","2018-19","7,500","15,500",0,"Northern Ireland","Ards and North Down",70229,"Professional, Scientific & Technical Activities"
"8083","Electrical World Limited","2018-19","25,000","97,000",0,"Northern Ireland","Fermanagh and Omagh",26110,"Manufacturing"
"8084","Kiverco Limited","2018-19","29,160","97,200",1,"Northern Ireland","Mid Ulster",28920,"Manufacturing"
"8085","Video First Software Ltd","2018-19","3,150","6,300",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"8086","Hide and Seek Ltd","2018-19","7,692","19,231",0,"Northern Ireland","Ards and North Down",79110,"Admin & Support Service Activities"
"8087","The Boatyard Distillery Ltd","2018-19","1,700","3,400",0,"Northern Ireland","Fermanagh and Omagh",11010,"Manufacturing"
"8088","Cirdan Imaging Ltd","2018-19","750","1,500",0,"Northern Ireland","Lisburn and Castlereagh",32500,"Manufacturing"
"8089","ALF Timber Limited","2018-19","59,000","283,000",9,"Northern Ireland","Causeway Coast and Glens",43390,"Construction"
"8090","Beyond Signage Ltd","2018-19","27,000","355,000",6,"Northern Ireland","Mid and East Antrim",32990,"Manufacturing"
"8091","Ara Hygiene Ltd","2018-19","16,500","55,000",0,"Northern Ireland","Antrim and Newtownabbey",20411,"Manufacturing"
