"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector"
"8179","Anaeko Limited","2018-19","7,350","15,000",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"8180","Percy Group Limited","2018-19","27,900","115,200",6,"Northern Ireland","Armagh City, Banbridge and Craigavon",70229,"Professional, Scientific & Technical Activities"
"8181","Elite Security N.I. Ltd","2018-19","28,000","223,200",4,"Northern Ireland","Armagh City, Banbridge and Craigavon",80200,"Admin & Support Service Activities"
"8182","Quintess Denta","2018-19","21,000","201,500",3,"Northern Ireland","Fermanagh and Omagh",86230,"Human & Social Work Activities"
"8183","AMS U.K. (NI) Ltd","2018-19","4,420","8,840",0,"Northern Ireland","Mid and East Antrim",21200,"Manufacturing"
"8184","Pitchbooking","2018-19","7,443","14,885",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",58290,"Information & Communication"
"8185","McNamee's Bakery","2018-19","28,424","94,746",1,"Northern Ireland","Newry, Mourne and Down",10710,"Manufacturing"
"8186","Edgewater Contracts","2018-19","95,200","4,112,000",14,"Northern Ireland","Mid Ulster",31010,"Manufacturing"
"8187","Horizon Engineering Solutions Ltd","2018-19","49,050","163,500",2,"Northern Ireland","Belfast",43999,"Construction"
"8188","Sensoteq","2018-19","67,000","904,000",9,"Northern Ireland","Belfast",61200,"Information & Communication"
"8189","Cherry Pipes Limited","2018-19","10,000","20,150",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",22290,"Manufacturing"
"8190","BLK Box","2018-19","2,941","9,559",0,"Northern Ireland","Belfast",93190,"Arts, Entertainment & Recreation"
"8191","Digishare360","2018-19","10,000","20,095",0,"Northern Ireland","Causeway Coast and Glens",82990,"Admin & Support Service Activities"
"8192","John Tinnelly & Sons Limited","2018-19","23,245","75,326",0,"Northern Ireland","Newry, Mourne and Down",43110,"Construction"
"8193","HNH Partners Limited","2018-19","144,000","1,370,000",14,"Northern Ireland","Belfast",69201,"Professional, Scientific & Technical Activities"
"8194","Tobermore Concrete Products Limited","2018-19","25,000","153,286",0,"Northern Ireland","Mid Ulster",23610,"Manufacturing"
"8195","Goudsmit Magnetics (UK) Ltd.","2018-19","43,380","144,600",2,"Netherlands","Belfast",25990,"Manufacturing"
"8196","Action Renewables","2018-19","22,000","22,000",0,"Northern Ireland","Belfast",71122,"Professional, Scientific & Technical Activities"
"8197","J.M.G. Systems Ltd","2018-19","704","1,408",0,"Northern Ireland","Fermanagh and Omagh",26512,"Manufacturing"
"8198","Crushing Screening Parts Limited","2018-19","38,500","526,500",7,"Northern Ireland","Mid Ulster",28490,"Manufacturing"
